StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-25T13:07:54.980181+07:00,Inbound,PT3M53.157847S,True,Extension,1,Answered,0112
2026-05-25T13:07:54.188124+07:00,Inbound Queue,PT2.619256S,True,Queue,1,Waiting,8196
2026-05-25T13:07:42.016074+07:00,Inbound,PT12.122248S,True,Digital Receptionist,1,Answered,8439
2026-05-25T13:04:58.918748+07:00,Inbound Queue,PT2.847206S,True,Queue,1,Waiting,8048
2026-05-25T13:04:26.356257+07:00,Inbound,PT30.279562S,True,Extension,1,Answered,0112
2026-05-25T13:04:25.650876+07:00,Inbound Queue,PT2.994494S,True,Queue,1,Waiting,8196
2026-05-25T13:04:13.381399+07:00,Inbound,PT12.069154S,True,Digital Receptionist,1,Answered,8439
2026-05-25T13:02:51.32192+07:00,Internal,PT3.515297S,True,System,1,Answered,*30
2026-05-25T12:00:26.591205+07:00,Internal,PT3.123892S,True,System,1,Answered,*31
2026-05-25T12:00:14.887416+07:00,Internal,PT3.11782S,True,System,1,Answered,*31
2026-05-25T11:28:50.237856+07:00,Inbound,PT10M18.890148S,True,Extension,1,Answered,0112
2026-05-25T11:28:49.547827+07:00,Inbound Queue,PT4.497105S,True,Queue,1,Waiting,8196
2026-05-25T11:28:37.276565+07:00,Inbound,PT12.059519S,True,Digital Receptionist,1,Answered,8439
2026-05-25T11:28:13.500679+07:00,Inbound Queue,PT4.086755S,True,Queue,1,Waiting,8048
2026-05-25T11:27:31.504932+07:00,Inbound,PT37.971993S,True,Extension,1,Answered,0112
2026-05-25T11:27:30.789245+07:00,Inbound Queue,PT4.783334S,True,Queue,1,Waiting,8196
2026-05-25T11:27:18.72094+07:00,Inbound,PT12.054478S,True,Digital Receptionist,1,Answered,8439
2026-05-25T11:25:34.963689+07:00,Inbound,PT3M23.848815S,True,Extension,1,Answered,0114
2026-05-25T11:25:34.320562+07:00,Inbound Queue,PT2.801255S,True,Queue,1,Waiting,8196
2026-05-25T11:25:22.047025+07:00,Inbound,PT12.067875S,True,Digital Receptionist,1,Answered,8439
2026-05-25T11:14:34.209324+07:00,Inbound,PT2M8.116592S,True,Extension,1,Answered,0112
2026-05-25T11:14:33.574245+07:00,Inbound Queue,PT4.514067S,True,Queue,1,Waiting,8196
2026-05-25T11:14:21.393413+07:00,Inbound,PT11.972982S,True,Digital Receptionist,1,Answered,8439
2026-05-25T11:08:46.926577+07:00,Inbound,PT8M6.220611S,True,Extension,1,Answered,0114
2026-05-25T11:08:46.287554+07:00,Inbound Queue,PT2.812468S,True,Queue,1,Waiting,8196
2026-05-25T11:08:33.927347+07:00,Inbound,PT12.057417S,True,Digital Receptionist,1,Answered,8439
2026-05-25T11:08:05.826737+07:00,Inbound,PT1M43.407198S,True,Extension,1,Answered,0112
2026-05-25T11:08:05.168668+07:00,Inbound Queue,PT5.012531S,True,Queue,1,Waiting,8196
2026-05-25T11:07:52.910302+07:00,Inbound,PT12.059466S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:57:49.30727+07:00,Inbound,PT4M19.848815S,True,Extension,1,Answered,0114
2026-05-25T10:57:48.644456+07:00,Inbound Queue,PT2.559673S,True,Queue,1,Waiting,8196
2026-05-25T10:57:36.47326+07:00,Inbound,PT11.954242S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:53:22.383748+07:00,Internal,PT3.171638S,True,System,1,Answered,*30
2026-05-25T10:47:17.972592+07:00,Inbound,PT1M10.575266S,True,Extension,1,Answered,0112
2026-05-25T10:47:17.756706+07:00,Inbound Queue,PT2.787309S,True,Queue,1,Waiting,8196
2026-05-25T10:47:05.592029+07:00,Inbound,PT12.065635S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:44:46.500128+07:00,Inbound,PT2M0.131646S,True,Extension,1,Answered,0112
2026-05-25T10:44:45.705083+07:00,Inbound Queue,PT3.240109S,True,Queue,1,Waiting,8196
2026-05-25T10:44:33.435769+07:00,Inbound,PT12.185877S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:44:10.670495+07:00,Inbound,PT0.194182S,True,Extension,1,Answered,0112
2026-05-25T10:43:49.908939+07:00,Inbound Queue,PT21.363591S,True,Queue,1,Waiting,8196
2026-05-25T10:43:37.644744+07:00,Inbound,PT12.143433S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:41:13.147482+07:00,Inbound,PT1M10.010798S,True,Extension,1,Answered,0112
2026-05-25T10:41:12.351558+07:00,Inbound Queue,PT3.610692S,True,Queue,1,Waiting,8196
2026-05-25T10:41:00.187153+07:00,Inbound,PT12.14461S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:42:28.528393+07:00,Inbound,PT1M37.032019S,True,Extension,1,Answered,0112
2026-05-25T10:41:30.253509+07:00,Inbound Queue,PT1M1.069629S,True,Queue,1,Waiting,8196
2026-05-25T10:41:17.980392+07:00,Inbound,PT12.154548S,True,Digital Receptionist,1,Answered,8439
2026-05-25T10:39:52.516878+07:00,Internal,PT3.08704S,True,System,1,Answered,*31
2026-05-25T10:18:09.619211+07:00,Inbound,PT13M58.75669S,True,Extension,1,Answered,0114
2026-05-25T10:18:08.908141+07:00,Inbound Queue,PT3.357021S,True,Queue,1,Waiting,8196
2026-05-25T10:17:56.739015+07:00,Inbound,PT11.968772S,True,Digital Receptionist,1,Answered,8439
2026-05-25T09:47:25.306742+07:00,Internal,PT3.430501S,True,System,1,Answered,*30
2026-05-25T09:21:56.543562+07:00,Internal,PT3.1352S,True,System,1,Answered,*31
2026-05-25T09:16:53.372957+07:00,Inbound,PT4M5.565399S,True,Extension,1,Answered,0112
2026-05-25T09:16:52.660924+07:00,Inbound Queue,PT4.390269S,True,Queue,1,Waiting,8196
2026-05-25T09:16:40.394871+07:00,Inbound,PT12.06577S,True,Digital Receptionist,1,Answered,8439
2026-05-25T08:57:04.379287+07:00,Internal,PT3.53121S,True,System,1,Answered,*30
2026-05-25T08:16:52.188376+07:00,Internal,PT3.53162S,True,System,1,Answered,*30
2026-05-24T21:51:32.587764+07:00,Inbound,PT14.895015S,True,Digital Receptionist,1,Answered,8441
2026-05-24T21:51:32.484701+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-24T17:47:02.795383+07:00,Inbound,PT15.198524S,True,Digital Receptionist,1,Answered,8441
2026-05-24T17:47:02.714853+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-24T16:56:41.975041+07:00,Inbound,PT8.569146S,True,Digital Receptionist,1,Answered,8441
2026-05-24T16:56:41.871474+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-24T12:33:53.347359+07:00,Inbound,PT15.080809S,True,Digital Receptionist,1,Answered,8441
2026-05-24T12:33:53.245251+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-24T09:20:14.014842+07:00,Inbound,PT8.177057S,True,Digital Receptionist,1,Answered,8441
2026-05-24T09:20:13.912623+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T21:22:30.695905+07:00,Inbound,PT10.282233S,True,Digital Receptionist,1,Answered,8441
2026-05-23T21:22:30.592976+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T19:28:36.56648+07:00,Inbound,PT15.095833S,True,Digital Receptionist,1,Answered,8441
2026-05-23T19:28:36.463583+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T16:56:28.986927+07:00,Inbound,PT10.168453S,True,Digital Receptionist,1,Answered,8441
2026-05-23T16:56:28.884585+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T15:48:23.37857+07:00,Inbound,PT15.185804S,True,Digital Receptionist,1,Answered,8441
2026-05-23T15:48:23.276481+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T14:48:47.822665+07:00,Inbound,PT8.435046S,True,Digital Receptionist,1,Answered,8441
2026-05-23T14:48:47.719034+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T13:32:26.680545+07:00,Inbound,PT15.166153S,True,Digital Receptionist,1,Answered,8441
2026-05-23T13:32:26.673712+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T12:03:55.175509+07:00,Inbound,PT21.122671S,True,Digital Receptionist,1,Answered,8441
2026-05-23T12:03:55.073973+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T10:10:10.319253+07:00,Inbound,PT15.200817S,True,Digital Receptionist,1,Answered,8441
2026-05-23T10:10:10.259547+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
